name,setCode,number,power,toughness,manaCost,text,type,layout,uuid,otherFaceIds
Bird,T30A,4,1,1,,Flying,Token Creature — Bird,token,0bbe6e7e-b4a0-5036-90ae-cff04abb921f,
Human Wizard,T30A,5,1,1,,,Token Creature — Human Wizard,token,870a02f0-5f76-5691-b79e-61fd08d258b0,
Skeleton,T30A,7,1,1,,,Token Creature — Skeleton,token,ea0220fe-dbd8-5b1f-9402-c79372138138,
Human Cleric,T30A,10,1,1,,,Token Creature — Human Cleric,token,b6863102-a8cf-5629-b6a7-2e7b8ebc949c,
Astartes Warrior,T40K,1,2,2,,Vigilance,Token Creature — Astartes Warrior,token,fd1e96d1-6a9e-50b0-8a04-d62ebce3af0f,
Space Marine Devastator,T40K,5,3,3,,"When Space Marine Devastator enters the battlefield, destroy up to one target artifact or enchantment.",Token Creature — Astartes Warrior,token,6367ef3e-ca9b-5df6-9803-9c9e2fb7fea8,
Ultramarines Honour Guard,T40K,6,2,2,,Other creatures you control get +1/+1.,Token Creature — Astartes Warrior,token,d16b52df-914d-5687-9960-79704ed7218c,
Zephyrim,T40K,7,3,3,,"Flying, vigilance",Token Creature — Human Warrior,token,3b31a39b-7be1-5710-88b7-3e03eb705179,
Sicarian Infiltrator,T40K,8,1,2,,"When Sicarian Infiltrator enters the battlefield, draw a card.",Token Artifact Creature — Human Soldier,token,9c6806d1-dc07-57cb-98d3-09035f153c88,
Tyranid Gargoyle,T40K,9,1,1,,Flying,Token Creature — Tyranid Gargoyle,token,d53b1c86-cdf3-5a6f-8ef5-5712493cb3e9,
Vanguard Suppressor,T40K,10,3,2,,"Flying\nWhenever Vanguard Suppressor deals combat damage to a player, draw a card.",Token Creature — Astartes Warrior,token,64da9ac6-4446-5677-977d-731e02ace324,
Arco-Flagellant,T40K,11,3,1,,Arco-Flagellant can't block.\nPay 3 life: Arco-Flagellant gains indestructible until end of turn.,Token Creature — Human,token,af0dfc50-fb47-5ba4-a92a-6a0c4bc90cf7,
Cherubael,T40K,13,4,4,,Flying,Token Legendary Creature — Demon,token,9c7f7b2e-3f3a-5b5e-9d36-3e823e04ce70,
Necron Warrior,T40K,14,2,2,,,Token Artifact Creature — Necron Warrior,token,a0e5dacb-c83e-5333-96bc-e1b34f710f52,
Plaguebearer of Nurgle,T40K,15,1,3,,,Token Creature — Demon,token,64702a74-d644-583e-aec8-89621d98615f,
Spawn,T40K,16,3,3,,,Token Creature — Spawn,token,71e8a701-0152-5d83-9323-4552f32716e7,
Tyranid,T40K,17,1,1,,,Token Creature — Tyranid,token,309b27b0-1526-57aa-9571-4115d6da29ca,
Tyranid Warrior,T40K,19,3,3,,Trample,Token Creature — Tyranid Warrior,token,ac5267b4-033c-5424-bb73-5ce499ff175c,
Blue Horror,T40K,20,2,2,,"Whenever you cast an instant or sorcery spell, this creature deals 1 damage to any target.",Token Creature — Demon Horror,token,12701ec9-8bdf-585d-9209-edbca76e2122,
Insect,T40K,22,1,1,,Flying,Token Artifact Creature — Insect,token,70660a05-39e9-53b5-86a5-487e15c4eca3,
Robot,T40K,23,4,4,,This creature can't block.,Token Artifact Creature — Robot,token,c1a005ac-0f4a-54b0-9b3c-f28bc1abc39d,
Fish,TA25,5,3,3,,"When this creature dies, create a 6/6 blue Whale creature token with ""When this creature dies, create a 9/9 blue Kraken creature token.""",Token Creature — Fish,token,aa821c4e-0561-5ad5-a9b3-c326a3bfcbf7,
Kraken,TA25,5★,9,9,,,Token Creature — Kraken,double_faced_token,5aac3b9e-2b4f-577d-8cac-47dcfbf2aa3a,dc740497-2711-5203-b204-272381eae905
Whale,TA25,7,6,6,,"When this creature dies, create a 9/9 blue Kraken creature token.",Token Creature — Whale,token,f08192e3-745c-5f8c-91c5-7da8649604af,
Kobolds of Kher Keep,TA25,10,0,1,,,Token Creature — Kobold,token,ce3f64ac-f4d1-5c1e-bda1-bcb0bcf376d8,
Stangg Twin,TA25,14,3,4,,,Token Legendary Creature — Human Warrior,token,382fab3e-a008-5648-a93c-23591b97da58,
Morph,TA25,15,2,2,,(You can cover a face-down creature with this reminder card.\nA card with morph can be turned face up any time for its morph cost.),Creature,token,0d854bcb-6335-5040-a1e6-3f19a590a625,
Baleful Beholder,AAFR,1,,,,,Card,art_series,544be855-d2f3-5c9f-a001-c34f1fd8c321,a1f0a580-7ce2-5101-98f7-23b4f001c023
Beholder,AAFR,1,,,,,Card,art_series,a1f0a580-7ce2-5101-98f7-23b4f001c023,544be855-d2f3-5c9f-a001-c34f1fd8c321
Mind Flayer,AAFR,2,,,,,Card,art_series,2e784099-a812-5683-ae35-5aa788a88016,96343de0-b106-575b-938c-ee8ae5207cd1
Purple Worm,AAFR,3,,,,,Card,art_series,c1d20fa9-eddf-59c0-8b93-f4648cca8427,347df87f-b2a0-51dd-9ba4-5303a1d39b0c
Demilich,AAFR,4,,,,,Card,art_series,ffe0fb45-0f53-5a30-bda7-e1a836c69a43,fdacc69a-f71f-5c4a-9402-f00590bafc38
Rimeshield Frost Giant,AAFR,5,,,,,Card,art_series,3bf3aea9-aaf3-5f23-b80c-1bebee577c94,6551a996-8c53-5551-8a9c-56b94c73f539
Frost Giant,AAFR,5,,,,,Card,art_series,6551a996-8c53-5551-8a9c-56b94c73f539,3bf3aea9-aaf3-5f23-b80c-1bebee577c94
Manticore,AAFR,6,,,,,Card,art_series,8161f86a-c22d-501d-9f86-cacbbf5eef68,2e445f1c-496d-572e-b70f-6a96977ba48b
Gelatinous Cube,AAFR,7,,,,,Card,art_series,a233f4f5-3a75-5ea7-bd2a-5d62f3fcc4d0,2ad7f362-d229-5f7f-863a-671513838bea
Displacer Beast,AAFR,8,,,,,Card,art_series,92ad6aa9-876c-5ac1-945a-d187f89e7e97,d48094e5-fc05-5866-828c-b2b235c4e229
Underdark Basilisk,AAFR,9,,,,,Card,art_series,683bad2a-c95b-59f0-b67f-f385990e59a7,bcfa8677-42b7-5553-bd6a-b014ca2427cf
Basilisk,AAFR,9,,,,,Card,art_series,bcfa8677-42b7-5553-bd6a-b014ca2427cf,683bad2a-c95b-59f0-b67f-f385990e59a7
Dragon Turtle,AAFR,10,,,,,Card,art_series,d61e5494-bc3b-5502-9a85-f15504e25289,65ced64c-fbce-514d-9e45-917abb2e57cf
Gnoll Hunter,AAFR,11,,,,,Card,art_series,bc20ee82-3db1-51e4-94c9-648876726e05,2d4acf2d-fbdd-5cfc-9034-39767c601cc7
Flumph,AAFR,12,,,,,Card,art_series,a570704e-6434-58fd-9ef8-291976943230,0f84c353-34c5-5292-9227-58f6fb62e7e4
Power of Persuasion,AAFR,13,,,,,Card,art_series,3a08f4c2-ad34-5a52-8b6b-14b72ba14f78,80cad0ba-7467-5d0c-a017-ab7cee4187d7
Ettin,AAFR,13,,,,,Card,art_series,80cad0ba-7467-5d0c-a017-ab7cee4187d7,3a08f4c2-ad34-5a52-8b6b-14b72ba14f78
Flameskull,AAFR,14,,,,,Card,art_series,6535cb92-d1a8-50ab-b1f3-dccab78bcd81,1792d862-56cf-5791-86c7-5f3e332ad2b6
Owlbear,AAFR,15,,,,,Card,art_series,85a4e6e9-ad0b-51dc-8b1d-ec7e6445a88a,8036fb4d-141c-545f-bb30-5827e6bb833a
Bulette,AAFR,16,,,,,Card,art_series,96431c57-94eb-5c4e-a652-384bb0186ebb,ff5cb82d-d8a5-59e8-a9f2-7736bc5f31aa
Drider,AAFR,17,,,,,Card,art_series,5dc00cfc-b86e-5f1e-82b7-ff2f25c82019,59403f01-472e-5a0b-b77d-96e7d8ddaa89
Sepulcher Ghoul,AAFR,18,,,,,Card,art_series,dad4f3f6-a00b-5b78-9042-6de10322617d,964e3977-a025-538a-9686-d9b8477eff24
The Tarrasque,AAFR,19,,,,,Card,art_series,4d0c9687-f57a-542d-b888-67d1fce8eacb,fbc35edf-2961-5282-bf7e-b8d27d5608aa
Tarrasque,AAFR,19,,,,,Card,art_series,fbc35edf-2961-5282-bf7e-b8d27d5608aa,4d0c9687-f57a-542d-b888-67d1fce8eacb
Blink Dog,AAFR,20,,,,,Card,art_series,d0bc91ed-6cfc-51da-a874-3a99e348f7ff,7a3a8eeb-9aa3-5d8e-9635-591ed44161b5
Loathsome Troll,AAFR,21,,,,,Card,art_series,5fbc40f8-da5e-51a7-b46a-4d58f1fc0c6b,ce5fa98e-4ffe-5f0f-be4a-816bf749a367
Troll,AAFR,21,,,,,Card,art_series,ce5fa98e-4ffe-5f0f-be4a-816bf749a367,5fbc40f8-da5e-51a7-b46a-4d58f1fc0c6b
Minion of the Mighty,AAFR,22,,,,,Card,art_series,a8dba437-a8e3-55e0-aeec-c2fbb202de19,1a224c3f-3a1b-5b54-9b91-afc1d6406d88
Kobold,AAFR,22,,,,,Card,art_series,1a224c3f-3a1b-5b54-9b91-afc1d6406d88,a8dba437-a8e3-55e0-aeec-c2fbb202de19
Xorn,AAFR,23,,,,,Card,art_series,b8ef28df-2fdf-5555-86ea-e3e946b1e960,3cc761ad-8bce-5cad-a098-38bab61c20e7
Swarming Goblins,AAFR,24,,,,,Card,art_series,c40d244d-16a8-5fe8-9f6e-f19f92c33330,5ec5faa4-d213-571f-b2e1-ca0b613cb9bd
Lurking Roper,AAFR,25,,,,,Card,art_series,bd0bd2e8-2531-5f00-b165-e64a2eaf950c,f551936d-0915-5726-a1b8-e424d9625a80
Roper,AAFR,25,,,,,Card,art_series,f551936d-0915-5726-a1b8-e424d9625a80,bd0bd2e8-2531-5f00-b165-e64a2eaf950c
Tiamat,AAFR,26,,,,,Card,art_series,e8b80925-c76b-5dc4-b7f6-899d4e6e1f71,0e358a54-fd0f-59df-b9d0-b7e3d550bbfc
Mimic,AAFR,27,,,,,Card,art_series,57933bc7-687a-5b6d-bbd8-e21b70d06627,56e8563e-41b0-51c3-a469-bd5481c7fd98
Half-Elf Monk,AAFR,28,,,,,Card,art_series,a6fd815b-89cd-5bd3-b2d4-10652e53a7d0,354be807-4456-554d-9d8d-0bcd45d9ba9d
"Xanathar, Guild Kingpin",AAFR,29,,,,,Card,art_series,7fea02e1-f792-51bc-a3ff-3f1f40487646,3d70e0e2-7f7d-5fcd-8b94-5fc89956bd12
Hobgoblin Bandit Lord,AAFR,30,,,,,Card,art_series,47c426bd-45f8-5b61-a02f-36fd77659a4a,88a3a479-113e-596a-9349-23c18606cf66
Hobgoblin,AAFR,30,,,,,Card,art_series,88a3a479-113e-596a-9349-23c18606cf66,47c426bd-45f8-5b61-a02f-36fd77659a4a
"Delina, Wild Mage",AAFR,31,,,,,Card,art_series,5a49cf7d-8d77-5e5a-b228-d22df61c1f74,a29dcf9b-9f2f-5da3-81d0-8b2a0cd035f9
"Farideh, Devil's Chosen",AAFR,32,,,,,Card,art_series,c404decb-8bc3-5b86-8475-85a270032e41,4071743e-962c-5941-ae7b-96c8735861cd
"Minsc, Beloved Ranger",AAFR,33,,,,,Card,art_series,b3a66a56-01d6-539d-a672-360947f802a1,783292ea-ad51-5683-af6f-d6549538ccbf
Den of the Bugbear,AAFR,34,,,,,Card,art_series,8e233ec8-1f86-58e4-82ee-6e6fb90704af,e5531ddd-07b1-5568-9b52-36bef1c7ef35
Power Word Kill,AAFR,35,,,,,Card,art_series,7f15dc28-e5b5-5d04-b649-b27161ea9002,e046e11d-7131-5bea-a4d4-3698ad37ad6e
Veteran Dungeoneer,AAFR,36,,,,,Card,art_series,011dd666-e0a9-5be1-ab1b-c377b41e1943,ea1ef9bb-ab54-51d4-b476-66d7e022758b
Contact Other Plane,AAFR,37,,,,,Card,art_series,98a017ca-eedd-5b5a-a981-9794cc834426,f48e08dd-dd05-538d-8f3e-afe630bc6b8d
Critical Hit,AAFR,38,,,,,Card,art_series,bb35dbf5-e942-5195-8d11-5b148aff6836,9c97f620-c018-5d1c-ac87-7231d0c9a6f4
Sudden Insight,AAFR,39,,,,,Card,art_series,e3de676e-9358-5f4b-8b6e-784e29de9528,a2a688ee-0ee3-58aa-8d4c-190bcadee52d
You Find the Villains' Lair,AAFR,40,,,,,Card,art_series,79f6b5ca-2a04-51f6-85f3-843b0abdd31a,8fc7ca48-b28f-5bf1-9436-a0260369d365
Hoard Robber,AAFR,41,,,,,Card,art_series,639058b7-6386-57ad-bb87-54aa9aa0e2f1,95716d41-24ef-5275-bb76-42ff3aed67ce
You Come to the Gnoll Camp,AAFR,42,,,,,Card,art_series,16d86540-bc3a-5fa3-a3f3-eb7587ead0e6,286017fe-6583-5a04-aa8e-ae4e42ba8ab4
True Polymorph,AAFR,43,,,,,Card,art_series,d8b81393-156c-5628-8b89-1db641370f14,fd2318dd-8082-539e-9c31-3dd9947cd60f
Bag of Holding,AAFR,44,,,,,Card,art_series,9cd82dd9-0086-5209-b156-0521c4fa5742,cb52be73-d55c-5af9-b874-44887481d2ae
Bar the Gate,AAFR,45,,,,,Card,art_series,0587bbd0-aca1-5405-940f-21ce2abb358e,1be5a23e-2507-51fc-aced-a7966a2d3939
Cave of the Frost Dragon,AAFR,46,,,,,Card,art_series,79fbf2d2-1390-5b6e-a949-b64367cc5312,260ae849-4140-56d8-a899-0c589d66bd30
Jaded Sell-Sword,AAFR,47,,,,,Card,art_series,82f6ad97-9195-5326-a142-64ddd311dca7,887acbc4-9b1c-55bc-b02a-50a392c3a25d
Magic Missile,AAFR,48,,,,,Card,art_series,391dfe03-3a81-54fa-ae97-83125fa3f7c2,8d04cea5-5cf6-564f-aa4d-8b689c73d86e
You Meet in a Tavern,AAFR,49,,,,,Card,art_series,5330539a-9b99-5cb9-8ff5-051108b45d9b,964c17eb-3f47-5368-9dfc-dc4682c9f9eb
Wish,AAFR,50,,,,,Card,art_series,f9e21c7b-df00-514b-b0af-c188cfe054f4,490eb57e-3f27-59aa-9b56-b06881e9e284
Long Rest,AAFR,51,,,,,Card,art_series,910516a4-0f37-565f-8b14-823a3e6a63d4,0508dc3c-06a7-5287-8e57-7f8dab559231
Drizzt Do'Urden,AAFR,52,,,,,Card,art_series,6994c376-a046-5dff-a916-18bac298692c,24518eea-bb69-511a-a869-2408282fe201
Hive of the Eye Tyrant,AAFR,53,,,,,Card,art_series,71152f4d-0a33-54c1-b1c1-d6ede4fba4a7,576b2128-e8df-54fc-9955-51e79d63b109
Hall of Storm Giants,AAFR,54,,,,,Card,art_series,487c6639-208a-5187-9c3a-e548bd1f0cc5,8fe78d61-8e04-5124-91bb-fa37369a69e6
Forest,AAFR,55,,,,,Card,art_series,c8264e32-d273-5359-88b4-c26a3dd71a71,c93e16b6-e026-5713-890f-823d41c80309
Fly,AAFR,56,,,,,Card,art_series,2a565246-3d05-5049-a669-d6297e4db5f2,48792f9c-9f29-52a2-a22e-3fa03c784a01
Dungeon Map,AAFR,57,,,,,Card,art_series,754d90ac-d4ca-5a22-b18b-85ea2b3ce8c3,7baa5360-6936-59aa-9b61-690356e399b8
Adult Gold Dragon,AAFR,58,,,,,Card,art_series,fa23c69a-77cd-5975-aa0e-bc190c9d08c5,539ccd7c-a2ed-56b7-a586-893442af4215
Mountain,AAFR,59,,,,,Card,art_series,30ca98a3-b115-58d0-9f0b-4e209ac8220c,dbfd8bb7-92d2-5a0b-9330-97286eb5ff5c
Plains,AAFR,63,,,,,Card,art_series,f98a7477-0863-535b-84a6-acc7677198e4,777b534b-530a-59c1-a036-04c9baf7aee5
Wandering Troubadour,AAFR,64,,,,,Card,art_series,0d808653-d765-5925-9986-3729612a5fc3,9a4ad735-2280-58ba-ad82-76be4112fafc
Cloister Gargoyle,AAFR,65,,,,,Card,art_series,8389791e-f2b9-5f47-9e8e-9e1e302908e1,780663e0-3d70-5903-81f8-0132bb130525
Circle of Dreams Druid,AAFR,66,,,,,Card,art_series,c98eb562-45a6-5038-be62-eca26577c1ff,2d7c969c-6466-5334-a7fd-c7ba8e7547f9
Lair of the Hydra,AAFR,67,,,,,Card,art_series,eaf8c9db-75f3-5966-8d5b-47a567d88c6e,fe678378-88f6-50ee-86ca-a459c9c94d29
Neverwinter Dryad,AAFR,69,,,,,Card,art_series,4ef80e90-442d-5ec0-b5c0-3d8326a537e0,9ad8351d-7b25-5ab9-8ccb-46bd9228a2d7
Feywild Trickster,AAFR,70,,,,,Card,art_series,18ed25a8-30e9-5fbb-9428-12fe303575bf,ec0dbfb0-e81d-5591-82ee-44bd3d6d336a
Grim Bounty,AAFR,72,,,,,Card,art_series,ecf8733c-0d90-54ed-988b-c63e05d87f2d,628f69f7-e42f-54c2-8188-f25d600e1438
Blue Dragon,AAFR,73,,,,,Card,art_series,b152812e-159e-5bb9-ab62-45ecf0615046,e62b750f-84c6-50b7-98c7-552b8db36ba5
Djinni Windseer,AAFR,74,,,,,Card,art_series,ac017899-b856-5be1-bacf-cf56a25b1175,248f2fd1-9a17-5385-8fd8-a398240c929d
Mordenkainen,AAFR,75,,,,,Card,art_series,52913730-4440-5b6e-8b9e-17276ebdd61d,613d8f1f-534e-5004-9c2e-6d74055ceadf
"Zariel, Archduke of Avernus",AAFR,77,,,,,Card,art_series,9bc807d8-568e-56d5-8289-619c6b0951fb,d2ce5531-e02e-5a9b-acd9-c7d585d0cce9
Pixie Guide,AAFR,78,,,,,Card,art_series,d136e422-b417-5c6d-9c51-29f2ba140ccc,1376c03e-194e-5d82-9d91-7550d8960d6c
Grand Master of Flowers,AAFR,79,,,,,Card,art_series,8888421f-18cf-58d5-ae71-0ae3c1b3cbda,0efa2559-61be-5741-b3bd-91074f3b4141
Iron Golem,AAFR,80,,,,,Card,art_series,937567a3-9723-522b-92ba-927b4fa2238a,9f82312d-9ae0-59ac-b7f5-ced5a8eb9bf0
Red Dragon,AAFR,81,,,,,Card,art_series,e2d3aeee-c7f7-5bb5-8178-d8ac241a56e2,25c1b841-c55f-5176-85da-4a967608fe6a
Mass Production,ABRO,1,,,,,Card,art_series,41ead63b-6597-562b-bbe7-caa350c4fbf3,6b892af4-37c5-5f27-b02a-39a191986bb3
Powerstone Engineer,ABRO,2,,,,,Card,art_series,3e101639-55e1-5520-8adc-65014f5c5066,ac368723-22f6-5fa8-9fb8-33df1bf6d6ba
Siege Veteran,ABRO,3,,,,,Card,art_series,de8d36e7-bc66-503d-847f-71357fbdc2be,3f356017-a765-5c44-a2e9-f5fdc90c586c
Tocasia's Welcome,ABRO,4,,,,,Card,art_series,55b06337-7724-5dcf-9d65-84e8c6ff6073,7173fc67-f1c7-5a03-8dca-806964d5bade
Autonomous Assembler,ABRO,5,,,,,Card,art_series,c618dc69-ae6c-5f5c-9a2b-b795671f3508,b03d7afb-1ca6-51bc-a07c-3a968e726a8a
Steel Seraph,ABRO,6,,,,,Card,art_series,d728548b-dbd2-5bd8-b972-2fd74b0c813a,eb51f1b1-2acc-5747-b200-e02349fbf52f
Urza's Sylex,ABRO,7,,,,,Card,art_series,c4ea0979-edce-5c04-9049-bd26a6f835bd,9c340734-29d1-5294-ac55-bf6a31715a3c
Air Marshal,ABRO,8,,,,,Card,art_series,92437959-a539-545a-9f92-34f2a7ebca4b,17ee8b60-b875-586d-9564-e7e04adc3bc7
Defabricate,ABRO,9,,,,,Card,art_series,7d7ae4ed-cff1-5c8d-8b38-b2d123b60f94,de3df736-9c0e-555a-91ca-77840ae6db15
"Hurkyl, Master Wizard",ABRO,10,,,,,Card,art_series,98f710ca-7196-58f5-b4a0-48ea6b356c4b,aaaef15d-e728-530c-aae6-f0fbbbc36c61
Retrieval Agent,ABRO,11,,,,,Card,art_series,cb3d4afc-727f-5784-a651-bcb69d0e21a1,50945d04-cb1e-5c0e-aaa7-73fb1ce10462
Take Flight,ABRO,12,,,,,Card,art_series,b24e2e2d-27af-57ef-8cde-09f83bc48615,5186ddc6-e5e6-5f27-8634-8e213a2028c1
Thopter Mechanic,ABRO,13,,,,,Card,art_series,6bed2a88-429c-5ca2-9208-7573ce2f33a8,1568e2a9-6461-5f44-94fa-bd45bbfdbb70
Depth Charge Colossus,ABRO,14,,,,,Card,art_series,9365232f-b868-5ed2-9ff8-6f77b84729ce,557eac7e-f3bd-518d-995a-2a69d46d957f
"Ashnod, Flesh Mechanist",ABRO,15,,,,,Card,art_series,6e2a1fcc-6eaa-5a03-8d03-c8d6a3a1b9d2,a684d1ac-8340-5a0d-94c6-c601ed213f4b
"Gix, Yawgmoth Praetor",ABRO,16,,,,,Card,art_series,ab00cac5-9c8d-54c8-8876-cf416d392f08,37ccab0f-7142-5725-bbb7-df4a40745bcb
Razorlash Transmogrant,ABRO,17,,,,,Card,art_series,8cc25fa3-7449-5412-be68-a3b6022bb85f,e14a9894-c297-5696-8a78-7b30fa15e582
Scrapwork Rager,ABRO,18,,,,,Card,art_series,9e451c46-2407-5111-beb7-ae2db474963d,37d0b066-8f17-5225-868c-a9358edcb984
Brotherhood's End,ABRO,19,,,,,Card,art_series,9bf2c6df-35fd-53bb-bd0b-0b7c7ebbf8a1,30dde754-19fd-52d4-997f-475b1e7eee41
The Fall of Kroog,ABRO,20,,,,,Card,art_series,89a7e584-54e4-5a83-aa66-b7faf2cd6536,26419835-d290-58d9-bd35-dc6f16addaf8
