name,setCode,number,power,toughness,manaCost,text,type,layout,uuid,otherFaceIds,relatedCards
Knight,T2X2,5,2,2,,Vigilance,Token Creature — Knight,token,06558f31-bce8-5504-9058-d836968bab2b,,"{""reverseRelated"": [""Aryel, Knight of Windgrace"", ""Banish into Fable"", ""Basri's Lieutenant"", ""Call the Cavalry"", ""Doom Foretold"", ""Gallant Cavalry"", ""Gideon's Phalanx"", ""History of Benalia"", ""Hopeful Vigil"", ""Imodane's Recruiter // Train Troops"", ""Knight Watch"", ""Knightly Valor"", ""Lonesome Unicorn // Rider in Need"", ""Militant Angel"", ""Righteous Confluence"", ""Security Blockade"", ""Selesnya Charm"", ""Sigiled Sword of Valeron"", ""Silverwing Squadron"", ""Sunspire Gatekeepers"", ""The Circle of Loyalty"", ""Trostani's Summoner"", ""Valiant Endeavor"", ""Valorous Steed"", ""Virtue of Loyalty // Ardenvale Fealty""]}"
Monk,T2X2,6,1,1,,Prowess,Token Creature — Monk,token,e4440487-4f32-5ed9-b485-0e34a2258f79,,"{""reverseRelated"": [""Monastery Mentor""]}"
Spirit,T2X2,8,1,1,,Flying,Token Creature — Spirit,token,5bb80cf6-edae-5967-8e02-a2692efe9268,,"{""reverseRelated"": [""Abzan Ascendancy"", ""Afterlife"", ""Alharu, Solemn Ritualist"", ""And\\u00faril, Flame of the West"", ""Avacyn's Collar"", ""Benevolent Offering"", ""Bishop of Wings"", ""Blessed Defiance"", ""Brine Comber // Brinebound Gift"", ""Clarion Spirit"", ""Confront the Assault"", ""Court of Grace"", ""Custodi Soulbinders"", ""Dauntless Cathar"", ""Doomed Traveler"", ""Drogskol Cavalry"", ""Elgaud Inquisitor"", ""Emissary of the Sleepless"", ""Ethereal Investigator"", ""Field of Souls"", ""Funeral Pyre"", ""Gallows at Willow Hill"", ""Geist-Honored Monk"", ""Hallowed Spiritkeeper"", ""Hanged Executioner"", ""Haunted Dead"", ""Haunted Library"", ""Heron-Blessed Geist"", ""Kaya the Inexorable"", ""Kaya, Geist Hunter"", ""King of the Oathbreakers"", ""Kirtar's Wrath"", ""Kykar, Wind's Fury"", ""Lingering Souls"", ""Luminous Angel"", ""March of Souls"", ""Mausoleum Guard"", ""Midnight Haunting"", ""Millicent, Restless Revenant"", ""Moorland Haunt"", ""Nearheath Chaplain"", ""Not Forgotten"", ""Nurturing Presence"", ""Oath of the Grey Host"", ""Occult Epiphany"", ""Path of the Ghosthunter"", ""Priest of the Blessed Graf"", ""Ranar the Ever-Watchful"", ""Requiem Angel"", ""Rousing of Souls"", ""Sanctifier of Souls"", ""Sandsteppe Outcast"", ""Seize the Soul"", ""Shadow Summoning"", ""Slayer's Plate"", ""Spectral Procession"", ""Spectral Reserves"", ""Spirit Bonds"", ""Spirit Cairn"", ""Staff of the Storyteller"", ""Teysa, Orzhov Scion"", ""Thalia's Geistcaller"", ""Thalisse, Reverent Medium"", ""Transluminant"", ""Triplicate Spirits"", ""Twilight Drover"", ""Valor of the Worthy"", ""Vessel of Ephemera"", ""Whispering Wizard""]}"
Vampire,T2X2,9,1,1,,Lifelink (Damage dealt by this creature also causes you to gain that much life.),Token Creature — Vampire,token,5e95d749-81f3-5294-a405-b4b65a32eb4f,,"{""reverseRelated"": [""Call to the Feast"", ""Charismatic Conqueror"", ""Elenda's Hierophant"", ""Elenda, the Dusk Rose"", ""Ghalta and Mavren"", ""Legion's Landing // Adanto, the First Fort"", ""March of the Canonized"", ""Martyr of Dusk"", ""Mavren Fein, Dusk Apostle"", ""Paladin of the Bloodstained"", ""Preacher of the Schism"", ""Queen's Commission"", ""Squire's Devotion""]}"
Drake,T2X2,10,2,2,,Flying,Token Creature — Drake,token,7c0e0855-217e-56a4-9a75-5409a158aec1,,"{""reverseRelated"": [""Alandra, Sky Dreamer"", ""Drake Haven"", ""Roost of Drakes"", ""Talrand's Invocation"", ""Talrand, Sky Summoner""]}"
Faerie Rogue,T2X2,11,1,1,,Flying,Token Creature — Faerie Rogue,token,367b2213-a86a-5fdb-90f7-8c93a74cb3c3,,"{""reverseRelated"": [""Alela, Cunning Conqueror"", ""Bitterblossom"", ""Notorious Throng"", ""Shadow Puppeteers"", ""Tegwyll's Scouring"", ""Violet Pall""]}"
Elemental,T2X2,13,1,1,,,Token Creature — Elemental,token,27b9adf3-cfb3-5551-adad-757e7f00201c,,"{""reverseRelated"": [""Chandra, Acolyte of Flame"", ""Mask of Immolation"", ""Molten Birth"", ""Scampering Scorcher"", ""Seasoned Pyromancer"", ""Tilonalli's Summoner"", ""Young Pyromancer""]}"
Bear,T2X2,14,4,4,,,Token Creature — Bear,token,18eef80e-48c6-500e-98cf-3ed4c3601b55,,"{""reverseRelated"": [""Bear's Companion""]}"
Boar,T2X2,15,3,3,,,Token Creature — Boar,token,c8599875-0389-5953-be39-61a5a7b5bb6a,,"{""reverseRelated"": [""Brindle Shoat""]}"
Egg,T2X2,16,0,1,,Defender,Token Creature — Egg,token,9db7edf6-2139-5df7-8e94-5906ee38136d,,"{""reverseRelated"": [""Atla Palani, Nest Tender""]}"
Spider,T2X2,18,1,2,,Reach,Token Creature — Spider,token,23cf1fd4-4cb8-52d1-89ca-401b60ff3ec9,,"{""reverseRelated"": [""Arachnogenesis"", ""Arasta of the Endless Web"", ""Brood Weaver"", ""Curse of Clinging Webs"", ""Gloomwidow's Feast"", ""Ishkanah, Grafwidow"", ""Rotwidow Pack"", ""Spider Spawning"", ""Twin-Silk Spider""]}"
Cat Dragon,T2X2,19,3,3,,Flying,Token Creature — Cat Dragon,token,77468071-de65-572f-80bc-88e11a77392f,,"{""reverseRelated"": [""Wasitora, Nekoru Queen""]}"
Worm,T2X2,20,1,1,,,Token Creature — Worm,token,d1b963a7-1ccd-5e24-91d9-fe750f54a7fd,,"{""reverseRelated"": [""Creakwood Liege"", ""Worm Harvest""]}"
Phyrexian Golem,T2X2,21,3,3,,,Token Artifact Creature — Phyrexian Golem,token,5450889c-b58f-5974-955c-b5f0d88d1338,,"{""reverseRelated"": [""Blade Splicer"", ""Conversion Chamber"", ""Darksteel Splicer"", ""Ich-Tekik, Salvage Splicer"", ""Incubation Sac"", ""Malcator, Purity Overseer"", ""Master Splicer"", ""Maul Splicer"", ""Phyrexian Triniform"", ""Sensor Splicer"", ""Splicer's Skill"", ""Vital Splicer"", ""Wing Splicer""]}"
Treasure,T2X2,22,,,,"{T}, Sacrifice this artifact: Add one mana of any color.",Token Artifact — Treasure,token,ba3bda5a-b0c8-5931-818b-0126c810dc7c,,"{""reverseRelated"": [""Academy Manufactor"", ""An Offer You Can't Refuse"", ""Ancestors' Aid"", ""Ancient Copper Dragon"", ""Atsushi, the Blazing Sky"", ""Axgard Artisan"", ""Baeloth Barrityl, Entertainer"", ""Bank Job"", ""Battle Angels of Tyr"", ""Beamtown Beatstick"", ""Big Score"", ""Big Spender"", ""Bilbo, Retired Burglar"", ""Bill Ferny, Bree Swindler"", ""Black Market Connections"", ""Black Market Tycoon"", ""Blood Money"", ""Bonehoard Dracosaur"", ""Boneyard Desecrator"", ""Bootleggers' Stash"", ""Bottle-Cap Blast"", ""Boxing Ring"", ""Brass's Bounty"", ""Brazen Freebooter"", ""Breeches, Eager Pillager"", ""Bucknard's Everfull Purse"", ""Burakos, Party Leader"", ""Burdened Aerialist"", ""Buy Your Silence"", ""Captain Lannery Storm"", ""Careening Mine Cart"", ""Cavern-Hoard Dragon"", ""Centrifuge"", ""Charming Scoundrel"", ""City of Death"", ""Collector's Vault"", ""Contested Game Ball"", ""Contract Killing"", ""Corsair Captain"", ""Covetous Elegy"", ""Crack Open"", ""Creative Outburst"", ""Culmination of Studies"", ""Currency Converter"", ""Cutthroat Negotiator"", ""Deadeye Plunderers"", ""Deadly Derision"", ""Deadly Dispute"", ""Decadent Dragon // Expensive Taste"", ""Depths of Desire"", ""Descent into Avernus"", ""Diamond Pick-Axe"", ""Dihada, Binder of Wills"", ""Dire Fleet Hoarder"", ""Discerning Financier"", ""Dockside Extortionist"", ""Don Andres, the Renegade"", ""Done for the Day"", ""Dungeon of the Mad Mage"", ""Dungeoneer's Pack"", ""Elemental Masterpiece"", ""Emissary Green"", ""Enterprising Scallywag"", ""Erestor of the Council"", ""Excavation Technique"", ""Exhibition Magician"", ""Exit Through the Grift Shop"", ""Fable of the Mirror-Breaker // Reflection of Kiki-Jiki"", ""Fae Offering"", ""Fain, the Broker"", ""Fake Your Own Death"", ""Flick a Coin"", ""Forging the Tyrite Sword"", ""Forsworn Paladin"", ""Furnace Reins"", ""Gadrak, the Crown-Scourge"", ""Gala Greeters"", ""Galadriel, Gift-Giver"", ""Galazeth Prismari"", ""Ganax, Astral Hunter"", ""Gemcutter Buccaneer"", ""Generous Plunderer"", ""Gilded Pinions"", ""Gimli of the Glittering Caves"", ""Gleaming Barrier"", ""Glittermonger"", ""Gluntch, the Bestower"", ""Gl\\u00f3in, Dwarf Emissary"", ""Goblin Airbrusher"", ""Goblin Shaman"", ""Gold Pan"", ""Gold Rush"", ""Goldspan Dragon"", ""Goldvein Hydra"", ""Goldvein Pick"", ""Gorbag of Minas Morgul"", ""Grabby Giant // That's Mine"", ""Great Train Heist"", ""Greedy Freebooter"", ""Grim Bounty"", ""Grim Hireling"", ""Guild Artisan"", ""Halo Scarab"", ""Heap Gate"", ""Heartless Pillage"", ""Hell to Pay"", ""Henry Wu, InGen Geneticist"", ""Herald of Hadar"", ""Hit the Mother Lode"", ""Hoard Hauler"", ""Hoard Robber"", ""Hoarding Ogre"", ""Hornswoggle"", ""Hullbreacher"", ""Ignacio of Myra's Marvels"", ""Improvised Weaponry"", ""Impulsive Pilferer"", ""Indulge // Excess"", ""Ingenious Mastery"", ""Inspired Tinkering"", ""Instrument of the Bards"", ""Invasion of Ergamon // Truga Cliffcharger"", ""Involuntary Employment"", ""James, Wandering Dad // Follow Him"", ""Jan Jansen, Chaos Crafter"", ""Jared Carthalion"", ""Jewel Thief"", ""Jewel-Eyed Cobra"", ""Jolene, Plundering Pugilist"", ""Jolene, the Plunder Queen"", ""Kalain, Reclusive Painter"", ""Kamachal, Ship's Mascot"", ""Kellogg, Dangerous Mind"", ""Kerblam! Warehouse"", ""Korvold and the Noble Thief"", ""Lara Croft, Tomb Raider"", ""Life Insurance"", ""Lobelia Sackville-Baggins"", ""Loot Dispute"", ""Lost Mine of Phandelver"", ""Lotho, Corrupt Shirriff"", ""Luck Bobblehead"", ""Luxurious Locomotive"", ""Magda, Brazen Outlaw"", ""Magda, the Hoardmaster"", ""Magma Opus"", ""Magmatic Galleon"", ""Mahadi, Emporium Master"", ""Malcolm, Keen-Eyed Navigator"", ""Malik, Grim Manipulator"", ""Marching Duodrone"", ""Mari, the Killing Quill"", ""Marut"", ""Master of Ceremonies"", ""Mastermind Plum"", ""Meet and Greet \\""Sisay\\"""", ""Megaton's Fate"", ""Mine Raider"", ""Mines of Moria"", ""Misfortune Teller"", ""Monologue Tax"", ""Most Wanted"", ""Mr. House, President and CEO"", ""New New York"", ""Noble's Purse"", ""North Pole Research Base"", ""Nuka-Cola Vending Machine"", ""Oath of the Grey Host"", ""Ognis, the Dragon's Lash"", ""Old Gnawbone"", ""Old Rutstein"", ""Olivia, Opulent Outlaw"", ""Pain Distributor"", ""Patient Naturalist"", ""Patron of the Arts"", ""Pick-a-Beeble"", ""Pinkie Pie"", ""Pirate's Pillage"", ""Pirate's Prize"", ""Pitiless Plunderer"", ""Plundering Barbarian"", ""Plundering Pirate"", ""Poetic Ingenuity"", ""Prismari Command"", ""Prized Statue"", ""Prizefight"", ""Professional Face-Breaker"", ""Prosper, Tome-Bound"", ""Prosperous Innkeeper"", ""Prosperous Partnership"", ""Prosperous Pirates"", ""Prosperous Thief"", ""Prying Blade"", ""RMS Titanic"", ""Racketeer Boss"", ""Ragavan, Nimble Pilferer"", ""Rain of Riches"", ""Ramirez DePietro, Pillager"", ""Rankle and Torbran"", ""Rapacious Dragon"", ""Rashmi and Ragavan"", ""Reckless Endeavor"", ""Reckless Lackey"", ""Reckoner Bankbuster"", ""Redcap Thief"", ""Redrock Sentinel"", ""Revel in Riches"", ""Riveteers Requisitioner"", ""Rose Room Treasurer"", ""Ruthless Knave"", ""Ruthless Technomancer"", ""Safana, Calimport Cutthroat"", ""Sailor of Means"", ""Scion of Opulence"", ""Seize the Spoils"", ""Seize the Spotlight"", ""Shambling Ghast"", ""Shiny Impetus"", ""Skullport Merchant"", ""Smashing Success"", ""Smaug"", ""Smoke Blessing"", ""Smoke Spirits' Aid"", ""Smothering Tithe"", ""Smuggler's Share"", ""Song of E\\u00e4rendil"", ""Spectrox Mines"", ""Spell Swindle"", ""Spiked Pit Trap"", ""Spiteful Banditry"", ""Spiteful Repossession"", ""Sticky Fingers"", ""Stimulus Package"", ""Storm the Vault // Vault of Catlacan"", ""Storm-Kiln Artist"", ""Strike It Rich"", ""Sudden Breakthrough"", ""Surly Badgersaur"", ""Swarming of Moria"", ""Swashbuckler Extraordinaire"", ""Sword of Wealth and Power"", ""Tavern Scoundrel"", ""Tempting Contract"", ""The Balrog of Moria"", ""The Belligerent"", ""The Golden City of Orazca"", ""The Matrix of Time"", ""The Reaver Cleaver"", ""The Third Doctor"", ""The Western Cloud"", ""There and Back Again"", ""Thieves' Tools"", ""Tireless Provisioner"", ""Tivit, Seller of Secrets"", ""Treasure Chest"", ""Treasure Dredger"", ""Treasure Map // Treasure Cove"", ""Treasure Vault"", ""Trove of Temptation"", ""Undercity // The Initiative"", ""Undercity Scrounger"", ""Unexpected Windfall"", ""Urabrask // The Great Work"", ""Vault 21: House Gambit"", ""Vault Robber"", ""Vazi, Keen Negotiator"", ""Visions of Ruin"", ""Volatile Fault"", ""Vraska, Relic Seeker"", ""Wanted Scoundrels"", ""Widespread Thieving"", ""Wily Goblin"", ""Xorn"", ""You Find a Cursed Idol"", ""You've Been Caught Stealing"", ""Young Red Dragon // Bathe in Gold"", ""Zhentarim Bandit"", ""Ziatora, the Incinerator""]}"
"Liliana, the Last Hope Emblem",T2X2,23,,,,"At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.",Emblem — Liliana,emblem,2d0f1dda-5182-553c-97d2-57710d02a3de,,"{""reverseRelated"": [""Liliana, the Last Hope"", ""Zombie""]}"
Wrenn and Six Emblem,T2X2,24,,,,Instant and sorcery cards in your graveyard have retrace. (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.),Emblem — Wrenn,emblem,695a65fa-4180-5482-aed8-1c9f84226998,,"{""reverseRelated"": [""Wrenn and Six""]}"
Eldrazi Spawn,T2XM,1,0,1,,Sacrifice this creature: Add {C}.,Token Creature — Eldrazi Spawn,token,4346b802-ff21-513e-8ba9-1bce9bc0d26c,,"{""reverseRelated"": [""Awakening Zone"", ""Brood Birthing"", ""Corpsehatch"", ""Dread Drone"", ""Emrakul's Hatcher"", ""Essence Feed"", ""Growth Spasm"", ""Kozilek's Predator"", ""Nest Invader"", ""Pawn of Ulamog"", ""Rapacious One"", ""Skittering Invasion"", ""Spawning Breath"", ""Spawnsire of Ulamog""]}"
Shapeshifter,T2XM,2,1,1,,Changeling,Token Creature — Shapeshifter,token,1d4754fb-6636-50bc-b84b-273f1dc27277,,"{""reverseRelated"": [""Crib Swap""]}"
Angel,T2XM,3,4,4,,Flying,Token Creature — Angel,token,20ed6cbc-ff63-5be7-acee-c6e34d490685,,"{""reverseRelated"": [""Angelic Accord"", ""Angelic Ascension"", ""Angelic Favor"", ""Court of Grace"", ""Decree of Justice"", ""Descend upon the Sinful"", ""Devout Invocation"", ""Empyrial Storm"", ""Entreat the Angels"", ""Geist of Saint Traft"", ""Invocation of Saint Traft"", ""Luminarch Ascension"", ""Moonsilver Spear"", ""Saint Traft and Rem Karolus"", ""Seraphic Greatsword"", ""Sigil of the Empty Throne"", ""Speaker of the Heavens"", ""Urbis Protector""]}"
Cat,T2XM,4,2,2,,,Token Creature — Cat,token,d3de374f-d4ac-50db-a857-b28760fec851,,"{""reverseRelated"": [""Ajani's Chosen"", ""Ajani, Caller of the Pride"", ""Kemba, Kha Enduring"", ""Kemba, Kha Regent"", ""White Sun's Zenith""]}"
